provincia,id_provincia,nombres_provincia,cadena,valor,id_cadena
Chubut,26.0,Chubut,peras y manzanas,0.0,21.0
Chubut,26.0,Chubut,porcino,0.0,22.0
Chubut,26.0,Chubut,soja,0.0,23.0
Chubut,26.0,Chubut,sorgo,0.0,24.0
Chubut,26.0,Chubut,tabaco,0.0,25.0
Chubut,26.0,Chubut,té,0.0,26.0
Chubut,26.0,Chubut,tomate,0.0,27.0
Chubut,26.0,Chubut,trigo,0.0,28.0
Chubut,26.0,Chubut,uva,0.0,29.0
Chubut,26.0,Chubut,yerba mate,0.0,30.0
Chubut,26.0,Chubut,girasol,0.0,31.0
Mendoza,50.0,Mendoza,ajo,74.0,1.0
Mendoza,50.0,Mendoza,algodón,0.0,2.0
Mendoza,50.0,Mendoza,arroz,0.0,3.0
Mendoza,50.0,Mendoza,avícola,3.0,4.0
Mendoza,50.0,Mendoza,berries,3.0,5.0
Mendoza,50.0,Mendoza,bovina,1.0,6.0
Mendoza,50.0,Mendoza,caña de azucar,0.0,7.0
Mendoza,50.0,Mendoza,caprino,13.0,8.0
Mendoza,50.0,Mendoza,cebada,0.0,9.0
Mendoza,50.0,Mendoza,cítricos,0.0,10.0
Mendoza,50.0,Mendoza,colza,0.0,11.0
Mendoza,50.0,Mendoza,forestal,1.0,12.0
Mendoza,50.0,Mendoza,láctea,0.0,13.0
Mendoza,50.0,Mendoza,limón,0.0,14.0
Mendoza,50.0,Mendoza,maíz,0.0,15.0
Mendoza,50.0,Mendoza,mani,0.0,16.0
Mendoza,50.0,Mendoza,miel,0.0,17.0
Mendoza,50.0,Mendoza,olivo,18.0,18.0
Mendoza,50.0,Mendoza,ovino,1.0,19.0
Mendoza,50.0,Mendoza,papa,5.0,20.0
Mendoza,50.0,Mendoza,peras y manzanas,9.0,21.0
Mendoza,50.0,Mendoza,porcino,0.0,22.0
Mendoza,50.0,Mendoza,soja,0.0,23.0
Mendoza,50.0,Mendoza,sorgo,0.0,24.0
Mendoza,50.0,Mendoza,tabaco,0.0,25.0
Mendoza,50.0,Mendoza,té,0.0,26.0
Mendoza,50.0,Mendoza,tomate,34.0,27.0
Mendoza,50.0,Mendoza,trigo,0.0,28.0
Mendoza,50.0,Mendoza,uva,66.0,29.0
Mendoza,50.0,Mendoza,yerba mate,0.0,30.0
Mendoza,50.0,Mendoza,girasol,0.0,31.0
Entre Ríoss,30.0,Entre Rios,ajo,0.0,1.0
Entre Ríoss,30.0,Entre Rios,algodón,0.0,2.0
Entre Ríoss,30.0,Entre Rios,arroz,50.0,3.0
Entre Ríoss,30.0,Entre Rios,avícola,40.0,4.0
Entre Ríoss,30.0,Entre Rios,berries,17.0,5.0
Entre Ríoss,30.0,Entre Rios,bovina,6.0,6.0
Entre Ríoss,30.0,Entre Rios,caña de azucar,0.0,7.0
Entre Ríoss,30.0,Entre Rios,caprino,0.0,8.0
Entre Ríoss,30.0,Entre Rios,cebada,0.0,9.0
Entre Ríoss,30.0,Entre Rios,cítricos,46.0,10.0
Entre Ríoss,30.0,Entre Rios,colza,19.0,11.0
Entre Ríoss,30.0,Entre Rios,forestal,20.0,12.0
Entre Ríoss,30.0,Entre Rios,láctea,3.0,13.0
Entre Ríoss,30.0,Entre Rios,limón,1.0,14.0
Entre Ríoss,30.0,Entre Rios,maíz,4.0,15.0
Entre Ríoss,30.0,Entre Rios,mani,0.0,16.0
Entre Ríoss,30.0,Entre Rios,miel,6.0,17.0
Entre Ríoss,30.0,Entre Rios,olivo,0.0,18.0
Entre Ríoss,30.0,Entre Rios,ovino,3.0,19.0
Entre Ríoss,30.0,Entre Rios,papa,0.0,20.0
Entre Ríoss,30.0,Entre Rios,peras y manzanas,0.0,21.0
Entre Ríoss,30.0,Entre Rios,porcino,1.0,22.0
Entre Ríoss,30.0,Entre Rios,soja,4.0,23.0
Entre Ríoss,30.0,Entre Rios,sorgo,19.0,24.0
Entre Ríoss,30.0,Entre Rios,tabaco,0.0,25.0
Entre Ríoss,30.0,Entre Rios,té,0.0,26.0
Entre Ríoss,30.0,Entre Rios,tomate,0.0,27.0
Entre Ríoss,30.0,Entre Rios,trigo,5.0,28.0
Entre Ríoss,30.0,Entre Rios,uva,0.0,29.0
Entre Ríoss,30.0,Entre Rios,yerba mate,0.0,30.0
Entre Ríoss,30.0,Entre Rios,girasol,1.0,31.0
San Juan,70.0,San Juan,ajo,17.0,1.0
San Juan,70.0,San Juan,algodón,0.0,2.0
San Juan,70.0,San Juan,arroz,0.0,3.0
San Juan,70.0,San Juan,avícola,1.0,4.0
San Juan,70.0,San Juan,berries,0.0,5.0
San Juan,70.0,San Juan,bovina,0.0,6.0
San Juan,70.0,San Juan,caña de azucar,0.0,7.0
San Juan,70.0,San Juan,caprino,0.0,8.0
San Juan,70.0,San Juan,cebada,0.0,9.0
San Juan,70.0,San Juan,cítricos,0.0,10.0
San Juan,70.0,San Juan,colza,0.0,11.0
San Juan,70.0,San Juan,forestal,0.0,12.0
San Juan,70.0,San Juan,láctea,0.0,13.0
San Juan,70.0,San Juan,limón,0.0,14.0
San Juan,70.0,San Juan,maíz,0.0,15.0
San Juan,70.0,San Juan,mani,0.0,16.0
San Juan,70.0,San Juan,miel,0.0,17.0
San Juan,70.0,San Juan,olivo,14.0,18.0
San Juan,70.0,San Juan,ovino,0.0,19.0
San Juan,70.0,San Juan,papa,0.0,20.0
San Juan,70.0,San Juan,peras y manzanas,0.0,21.0
San Juan,70.0,San Juan,porcino,0.0,22.0
San Juan,70.0,San Juan,soja,0.0,23.0
San Juan,70.0,San Juan,sorgo,0.0,24.0
San Juan,70.0,San Juan,tabaco,0.0,25.0
San Juan,70.0,San Juan,té,0.0,26.0
San Juan,70.0,San Juan,tomate,26.0,27.0
San Juan,70.0,San Juan,trigo,0.0,28.0
San Juan,70.0,San Juan,uva,26.0,29.0
San Juan,70.0,San Juan,yerba mate,0.0,30.0
San Juan,70.0,San Juan,girasol,0.0,31.0
Jujuy,38.0,Jujuy,ajo,1.0,1.0
Jujuy,38.0,Jujuy,algodón,0.0,2.0
Jujuy,38.0,Jujuy,arroz,0.0,3.0
Jujuy,38.0,Jujuy,avícola,0.0,4.0
Jujuy,38.0,Jujuy,berries,0.0,5.0
Jujuy,38.0,Jujuy,bovina,1.0,6.0
Jujuy,38.0,Jujuy,caña de azucar,18.0,7.0
Jujuy,38.0,Jujuy,caprino,1.0,8.0
Jujuy,38.0,Jujuy,cebada,0.0,9.0
Jujuy,38.0,Jujuy,cítricos,6.0,10.0
Jujuy,38.0,Jujuy,colza,0.0,11.0
Jujuy,38.0,Jujuy,forestal,5.0,12.0
Jujuy,38.0,Jujuy,láctea,0.0,13.0
Jujuy,38.0,Jujuy,limón,3.0,14.0
Jujuy,38.0,Jujuy,maíz,0.0,15.0
Jujuy,38.0,Jujuy,mani,0.0,16.0
Jujuy,38.0,Jujuy,miel,0.0,17.0
Jujuy,38.0,Jujuy,olivo,0.0,18.0
Jujuy,38.0,Jujuy,ovino,2.0,19.0
Jujuy,38.0,Jujuy,papa,1.0,20.0
Jujuy,38.0,Jujuy,peras y manzanas,0.0,21.0
Jujuy,38.0,Jujuy,porcino,0.0,22.0
Jujuy,38.0,Jujuy,soja,0.0,23.0
Jujuy,38.0,Jujuy,sorgo,0.0,24.0
Jujuy,38.0,Jujuy,tabaco,25.0,25.0
Jujuy,38.0,Jujuy,té,0.0,26.0
Jujuy,38.0,Jujuy,tomate,4.0,27.0
Jujuy,38.0,Jujuy,trigo,0.0,28.0
Jujuy,38.0,Jujuy,uva,0.0,29.0
Jujuy,38.0,Jujuy,yerba mate,0.0,30.0
Jujuy,38.0,Jujuy,girasol,0.0,31.0
Santiago del Estero,86.0,Santiago Del Estero,ajo,0.0,1.0
Santiago del Estero,86.0,Santiago Del Estero,algodón,29.0,2.0
Santiago del Estero,86.0,Santiago Del Estero,arroz,0.0,3.0
Santiago del Estero,86.0,Santiago Del Estero,avícola,0.0,4.0
Santiago del Estero,86.0,Santiago Del Estero,berries,0.0,5.0
Santiago del Estero,86.0,Santiago Del Estero,bovina,2.0,6.0
Santiago del Estero,86.0,Santiago Del Estero,caña de azucar,0.0,7.0
Santiago del Estero,86.0,Santiago Del Estero,caprino,15.0,8.0
Santiago del Estero,86.0,Santiago Del Estero,cebada,0.0,9.0
Santiago del Estero,86.0,Santiago Del Estero,cítricos,0.0,10.0
Santiago del Estero,86.0,Santiago Del Estero,colza,0.0,11.0
Santiago del Estero,86.0,Santiago Del Estero,forestal,1.0,12.0
Santiago del Estero,86.0,Santiago Del Estero,láctea,0.0,13.0
Santiago del Estero,86.0,Santiago Del Estero,limón,0.0,14.0
Santiago del Estero,86.0,Santiago Del Estero,maíz,6.0,15.0
Santiago del Estero,86.0,Santiago Del Estero,mani,0.0,16.0
Santiago del Estero,86.0,Santiago Del Estero,miel,5.0,17.0
Santiago del Estero,86.0,Santiago Del Estero,olivo,0.0,18.0
Santiago del Estero,86.0,Santiago Del Estero,ovino,1.0,19.0
Santiago del Estero,86.0,Santiago Del Estero,papa,0.0,20.0
Santiago del Estero,86.0,Santiago Del Estero,peras y manzanas,0.0,21.0
Santiago del Estero,86.0,Santiago Del Estero,porcino,0.0,22.0
Santiago del Estero,86.0,Santiago Del Estero,soja,5.0,23.0
Santiago del Estero,86.0,Santiago Del Estero,sorgo,9.0,24.0
Santiago del Estero,86.0,Santiago Del Estero,tabaco,0.0,25.0
Santiago del Estero,86.0,Santiago Del Estero,té,0.0,26.0
Santiago del Estero,86.0,Santiago Del Estero,tomate,2.0,27.0
Santiago del Estero,86.0,Santiago Del Estero,trigo,3.0,28.0
Santiago del Estero,86.0,Santiago Del Estero,uva,0.0,29.0
Santiago del Estero,86.0,Santiago Del Estero,yerba mate,0.0,30.0
Santiago del Estero,86.0,Santiago Del Estero,girasol,1.0,31.0
Río Negro,62.0,Rio Negro,ajo,1.0,1.0
Río Negro,62.0,Rio Negro,algodón,0.0,2.0
Río Negro,62.0,Rio Negro,arroz,0.0,3.0
Río Negro,62.0,Rio Negro,avícola,2.0,4.0
Río Negro,62.0,Rio Negro,berries,0.0,5.0
Río Negro,62.0,Rio Negro,bovina,1.0,6.0
Río Negro,62.0,Rio Negro,caña de azucar,0.0,7.0
Río Negro,62.0,Rio Negro,caprino,0.0,8.0
Río Negro,62.0,Rio Negro,cebada,0.0,9.0
Río Negro,62.0,Rio Negro,cítricos,0.0,10.0
Río Negro,62.0,Rio Negro,colza,0.0,11.0
Río Negro,62.0,Rio Negro,forestal,0.0,12.0
Río Negro,62.0,Rio Negro,láctea,0.0,13.0
Río Negro,62.0,Rio Negro,limón,0.0,14.0
Río Negro,62.0,Rio Negro,maíz,0.0,15.0
Río Negro,62.0,Rio Negro,mani,0.0,16.0
Río Negro,62.0,Rio Negro,miel,2.0,17.0
Río Negro,62.0,Rio Negro,olivo,0.0,18.0
Río Negro,62.0,Rio Negro,ovino,8.0,19.0
Río Negro,62.0,Rio Negro,papa,1.0,20.0
Río Negro,62.0,Rio Negro,peras y manzanas,74.0,21.0
Río Negro,62.0,Rio Negro,porcino,0.0,22.0
Río Negro,62.0,Rio Negro,soja,0.0,23.0
Río Negro,62.0,Rio Negro,sorgo,0.0,24.0
Río Negro,62.0,Rio Negro,tabaco,0.0,25.0
Río Negro,62.0,Rio Negro,té,0.0,26.0
Río Negro,62.0,Rio Negro,tomate,12.0,27.0
Río Negro,62.0,Rio Negro,trigo,0.0,28.0
Río Negro,62.0,Rio Negro,uva,0.0,29.0
Río Negro,62.0,Rio Negro,yerba mate,0.0,30.0
Río Negro,62.0,Rio Negro,girasol,0.0,31.0
Corrientes,18.0,Corrientes,ajo,0.0,1.0
Corrientes,18.0,Corrientes,algodón,2.0,2.0
Corrientes,18.0,Corrientes,arroz,32.0,3.0
Corrientes,18.0,Corrientes,avícola,0.0,4.0
Corrientes,18.0,Corrientes,berries,1.0,5.0
Corrientes,18.0,Corrientes,bovina,5.0,6.0
Corrientes,18.0,Corrientes,caña de azucar,0.0,7.0
Corrientes,18.0,Corrientes,caprino,0.0,8.0
Corrientes,18.0,Corrientes,cebada,0.0,9.0
Corrientes,18.0,Corrientes,cítricos,24.0,10.0
Corrientes,18.0,Corrientes,colza,0.0,11.0
Corrientes,18.0,Corrientes,forestal,4.0,12.0
Corrientes,18.0,Corrientes,láctea,0.0,13.0
Corrientes,18.0,Corrientes,limón,4.0,14.0
Corrientes,18.0,Corrientes,maíz,0.0,15.0
Corrientes,18.0,Corrientes,mani,0.0,16.0
Corrientes,18.0,Corrientes,miel,1.0,17.0
Corrientes,18.0,Corrientes,olivo,0.0,18.0
Corrientes,18.0,Corrientes,ovino,14.0,19.0
Corrientes,18.0,Corrientes,papa,0.0,20.0
Corrientes,18.0,Corrientes,peras y manzanas,0.0,21.0
Corrientes,18.0,Corrientes,porcino,0.0,22.0
Corrientes,18.0,Corrientes,soja,0.0,23.0
Corrientes,18.0,Corrientes,sorgo,0.0,24.0
Corrientes,18.0,Corrientes,tabaco,1.0,25.0
Corrientes,18.0,Corrientes,té,6.0,26.0
Corrientes,18.0,Corrientes,tomate,0.0,27.0
Corrientes,18.0,Corrientes,trigo,0.0,28.0
Corrientes,18.0,Corrientes,uva,0.0,29.0
Corrientes,18.0,Corrientes,yerba mate,14.0,30.0
Corrientes,18.0,Corrientes,girasol,0.0,31.0
Misiones,54.0,Misiones,ajo,0.0,1.0
Misiones,54.0,Misiones,algodón,0.0,2.0
Misiones,54.0,Misiones,arroz,0.0,3.0
Misiones,54.0,Misiones,avícola,0.0,4.0
Misiones,54.0,Misiones,berries,0.0,5.0
Misiones,54.0,Misiones,bovina,0.0,6.0
Misiones,54.0,Misiones,caña de azucar,0.0,7.0
Misiones,54.0,Misiones,caprino,0.0,8.0
Misiones,54.0,Misiones,cebada,0.0,9.0
Misiones,54.0,Misiones,cítricos,6.0,10.0
Misiones,54.0,Misiones,colza,0.0,11.0
Misiones,54.0,Misiones,forestal,33.0,12.0
Misiones,54.0,Misiones,láctea,0.0,13.0
Misiones,54.0,Misiones,limón,1.0,14.0
Misiones,54.0,Misiones,maíz,0.0,15.0
Misiones,54.0,Misiones,mani,0.0,16.0
Misiones,54.0,Misiones,miel,0.0,17.0
Misiones,54.0,Misiones,olivo,0.0,18.0
Misiones,54.0,Misiones,ovino,0.0,19.0
Misiones,54.0,Misiones,papa,0.0,20.0
Misiones,54.0,Misiones,peras y manzanas,0.0,21.0
Misiones,54.0,Misiones,porcino,0.0,22.0
Misiones,54.0,Misiones,soja,0.0,23.0
Misiones,54.0,Misiones,sorgo,0.0,24.0
Misiones,54.0,Misiones,tabaco,20.0,25.0
Misiones,54.0,Misiones,té,91.0,26.0
Misiones,54.0,Misiones,tomate,0.0,27.0
Misiones,54.0,Misiones,trigo,0.0,28.0
Misiones,54.0,Misiones,uva,0.0,29.0
Misiones,54.0,Misiones,yerba mate,85.0,30.0
Misiones,54.0,Misiones,girasol,0.0,31.0
Salta,66.0,Salta,ajo,0.0,1.0
Salta,66.0,Salta,algodón,3.0,2.0
Salta,66.0,Salta,arroz,0.0,3.0
Salta,66.0,Salta,avícola,1.0,4.0
Salta,66.0,Salta,berries,0.0,5.0
Salta,66.0,Salta,bovina,2.0,6.0
Salta,66.0,Salta,caña de azucar,10.0,7.0
Salta,66.0,Salta,caprino,2.0,8.0
Salta,66.0,Salta,cebada,0.0,9.0
Salta,66.0,Salta,cítricos,7.0,10.0
Salta,66.0,Salta,colza,0.0,11.0
Salta,66.0,Salta,forestal,0.0,12.0
Salta,66.0,Salta,láctea,0.0,13.0
Salta,66.0,Salta,limón,12.0,14.0
Salta,66.0,Salta,maíz,3.0,15.0
Salta,66.0,Salta,mani,0.0,16.0
Salta,66.0,Salta,miel,3.0,17.0
Salta,66.0,Salta,olivo,0.0,18.0
Salta,66.0,Salta,ovino,1.0,19.0
Salta,66.0,Salta,papa,1.0,20.0
Salta,66.0,Salta,peras y manzanas,0.0,21.0
Salta,66.0,Salta,porcino,1.0,22.0
Salta,66.0,Salta,soja,2.0,23.0
Salta,66.0,Salta,sorgo,0.0,24.0
Salta,66.0,Salta,tabaco,18.0,25.0
Salta,66.0,Salta,té,0.0,26.0
Salta,66.0,Salta,tomate,4.0,27.0
Salta,66.0,Salta,trigo,1.0,28.0
Salta,66.0,Salta,uva,1.0,29.0
Salta,66.0,Salta,yerba mate,0.0,30.0
Salta,66.0,Salta,girasol,0.0,31.0
Córdoba,14.0,Cordoba,ajo,2.0,1.0
Córdoba,14.0,Cordoba,algodón,1.0,2.0
Córdoba,14.0,Cordoba,arroz,0.0,3.0
Córdoba,14.0,Cordoba,avícola,4.0,4.0
Córdoba,14.0,Cordoba,berries,0.0,5.0
Córdoba,14.0,Cordoba,bovina,9.0,6.0
Córdoba,14.0,Cordoba,caña de azucar,0.0,7.0
Córdoba,14.0,Cordoba,caprino,36.0,8.0
Córdoba,14.0,Cordoba,cebada,0.0,9.0
Córdoba,14.0,Cordoba,cítricos,0.0,10.0
Córdoba,14.0,Cordoba,colza,1.0,11.0
Córdoba,14.0,Cordoba,forestal,1.0,12.0
Córdoba,14.0,Cordoba,láctea,30.0,13.0
Córdoba,14.0,Cordoba,limón,0.0,14.0
Córdoba,14.0,Cordoba,maíz,33.0,15.0
Córdoba,14.0,Cordoba,mani,83.0,16.0
Córdoba,14.0,Cordoba,miel,28.0,17.0
Córdoba,14.0,Cordoba,olivo,10.0,18.0
Córdoba,14.0,Cordoba,ovino,2.0,19.0
Córdoba,14.0,Cordoba,papa,42.0,20.0
Córdoba,14.0,Cordoba,peras y manzanas,0.0,21.0
Córdoba,14.0,Cordoba,porcino,15.0,22.0
Córdoba,14.0,Cordoba,soja,24.0,23.0
Córdoba,14.0,Cordoba,sorgo,14.0,24.0
Córdoba,14.0,Cordoba,tabaco,0.0,25.0
Córdoba,14.0,Cordoba,té,0.0,26.0
Córdoba,14.0,Cordoba,tomate,2.0,27.0
Córdoba,14.0,Cordoba,trigo,21.0,28.0
Córdoba,14.0,Cordoba,uva,0.0,29.0
Córdoba,14.0,Cordoba,yerba mate,0.0,30.0
Córdoba,14.0,Cordoba,girasol,3.0,31.0
Buenos Aires,6.0,Buenos Aires,ajo,3.0,1.0
Buenos Aires,6.0,Buenos Aires,algodón,5.0,2.0
Buenos Aires,6.0,Buenos Aires,arroz,5.0,3.0
Buenos Aires,6.0,Buenos Aires,avícola,40.0,4.0
Buenos Aires,6.0,Buenos Aires,berries,30.0,5.0
Buenos Aires,6.0,Buenos Aires,bovina,43.0,6.0
Buenos Aires,6.0,Buenos Aires,caña de azucar,1.0,7.0
Buenos Aires,6.0,Buenos Aires,caprino,0.0,8.0
Buenos Aires,6.0,Buenos Aires,cebada,51.0,9.0
Buenos Aires,6.0,Buenos Aires,cítricos,3.0,10.0
Buenos Aires,6.0,Buenos Aires,colza,73.0,11.0
Buenos Aires,6.0,Buenos Aires,forestal,18.0,12.0
Buenos Aires,6.0,Buenos Aires,láctea,33.0,13.0
Buenos Aires,6.0,Buenos Aires,limón,2.0,14.0
Buenos Aires,6.0,Buenos Aires,maíz,31.0,15.0
